"id","con_id","symbol","market","exchange","primary_exchange","currency","country","sector","industry","sub_industry","long_name","is_active","updated_at"
315,9690,MLM,US,SMART,NYSE,USD,,Industrial,Building Materials,Bldg Prod-Cement/Aggreg,MARTIN MARIETTA MATERIALS,true,2026-06-13 22:32:43.945
316,9720,MMM,US,SMART,NYSE,USD,,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,"3M CO",true,2026-06-13 22:32:43.945
317,196986496,MNST,US,SMART,NASDAQ,USD,,"Consumer, Non-cyclical",Beverages,Beverages-Non-alcoholic,MONSTER BEVERAGE CORP,true,2026-06-13 22:32:43.945
318,9769,MO,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Agriculture,Tobacco,ALTRIA GROUP INC,true,2026-06-13 22:32:43.945
319,88292752,MOS,US,SMART,NYSE,USD,,Basic Materials,Chemicals,Agricultural Chemicals,MOSAIC CO/THE,true,2026-06-13 22:32:43.945
320,89495776,MPC,US,SMART,NYSE,USD,,Energy,Oil&Gas,Oil Refining&Marketing,MARATHON PETROLEUM CORP,true,2026-06-13 22:32:43.945
321,32106121,MPWR,US,SMART,NASDAQ,USD,,Technology,Semiconductors,Electronic Compo-Semicon,MONOLITHIC POWER SYSTEMS INC,true,2026-06-13 22:32:43.945
322,70101545,MRK,US,SMART,NYSE,USD,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,MERCK & CO INC,true,2026-06-13 22:32:43.945
323,344809106,MRNA,US,SMART,NASDAQ,USD,,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,MODERNA INC,true,2026-06-13 22:32:43.945
324,9705,MRSH,US,SMART,NYSE,USD,,Financial,Insurance,Insurance Brokers,MARSH & MCLENNAN COS,true,2026-06-13 22:32:43.945
325,483492393,MRVL,US,SMART,NASDAQ,USD,,Technology,Semiconductors,Electronic Compo-Semicon,MARVELL TECHNOLOGY INC,true,2026-06-13 22:32:43.945
326,2841574,MS,US,SMART,NYSE,USD,,Financial,Banks,Diversified Banking Inst,MORGAN STANLEY,true,2026-06-13 22:32:43.945
327,47101335,MSCI,US,SMART,NYSE,USD,,Technology,Software,Decision Support Softwar,MSCI INC,true,2026-06-13 22:32:43.945
328,272093,MSFT,US,SMART,NASDAQ,USD,,Technology,Software,Applications Software,MICROSOFT CORP,true,2026-06-13 22:32:43.945
329,81581011,MSI,US,SMART,NYSE,USD,,Communications,Telecommunications,Wireless Equipment,MOTOROLA SOLUTIONS INC,true,2026-06-13 22:32:43.945
330,272110,MSTR,US,SMART,NASDAQ,USD,,Technology,Software,Enterprise Software/Serv,STRATEGY INC,true,2026-06-13 22:32:43.945
